#ID,#product,#buyprice,#sellprice,#units_purchsed,#units_sold,year
EMHU511654HZ,Face_Wash,5,16,933,472,2009
ITNQ108617NG,Oil,9,18,817,408,2008
HURM744568RR,Tooth_Brush,3,16,969,434,2008
UJKT127696KZ,Face_Wash,11,14,965,436,2008
IXCD441126CM,Soap,9,22,728,462,2001
WRIR330104IC,Tooth_Brush,5,23,565,490,2002
QUAY335336AT,Body_Wash,10,18,749,443,2005
LFZY195766ZR,Tooth_Brush,9,19,611,423,2002
BODE398325DZ,Face_Wash,8,17,982,442,2008
ANXX989169XH,Tooth_Brush,8,23,666,489,2002
FGRO239650RC,Soap,6,15,503,427,2009
XWRV257354RY,Body_Wash,4,24,518,488,2006
NFOF348246OK,Shampoo,7,25,629,435,2006
EGRG725578RO,Tooth_Brush,3,14,554,456,2006
KXEQ146535EX,Toothpaste,8,20,652,476,2009
DIQP463386QS,Soap,12,25,951,458,2001
TQZY592233ZJ,Body_Wash,5,19,785,474,2008
TYAY592899AG,Oil,11,22,805,440,2001
TUIK559135IY,Shampoo,9,23,830,495,2010
SHLA231149LH,Shampoo,7,21,898,422,2008
IPJQ513377JR,Shampoo,3,25,877,407,2008
UIFT232612FV,Face_Wash,11,17,549,407,2009
GTKY671552KP,Soap,11,20,997,488,2007
FHUZ386378UV,Soap,3,20,564,485,2001
FSHQ556126HA,Oil,7,24,931,498,2009
EXKU405306KJ,Face_Wash,7,19,771,401,2004
QUQB523315QW,Soap,3,23,814,494,2007
KTJO364316JF,Face_Wash,9,13,692,412,2010
MVJE701183JF,Toothpaste,11,20,952,412,2006
SEOR687972OF,Oil,7,17,516,406,2008
HZMN902306MD,Tooth_Brush,9,15,812,444,2005
JJCZ539322CC,Soap,12,19,892,462,2004
JICI579875CW,Oil,6,23,671,447,2006
RPNS664686NX,Toothpaste,6,14,997,438,2010
COSB105431SA,Oil,5,17,799,475,2002
ILJT845424JK,Soap,6,15,760,482,2010
QGEK653410EH,Shampoo,7,17,574,423,2002
ZASQ978992SH,Face_Wash,9,24,794,468,2003
IRSE104760SM,Face_Wash,9,13,731,467,2001
KNOC661303OB,Toothpaste,11,16,710,483,2007
NEVE491117VK,Oil,4,23,700,453,2008
BBLR117206LP,Tooth_Brush,11,20,685,477,2001
CCOZ233632OE,Shampoo,11,22,834,419,2004
XNUL660454UG,Soap,9,17,743,488,2001
JBBT530207BQ,Body_Wash,12,16,792,487,2001
CLQM657820QF,Oil,3,25,858,445,2006
AZEP115947EM,Face_Wash,11,19,507,496,2006
TKOM732444OG,Tooth_Brush,4,17,668,470,2009
KMTF587590TJ,Face_Wash,3,16,800,402,2003
PEWS196526WV,Soap,10,22,657,472,2008
FPAE289578AL,Oil,5,24,740,410,2008
SGNT417430NU,Body_Wash,9,17,792,455,2006
YPVK135874VA,Body_Wash,10,22,602,480,2002
ICKA606517KX,Toothpaste,6,18,585,405,2006
UJKJ581421KH,Soap,5,24,978,435,2005
KLAU283185AR,Tooth_Brush,8,17,806,495,2008
IPDQ618293DN,Body_Wash,7,13,522,450,2005
XRSO142126SZ,Tooth_Brush,12,25,834,425,2002
IPOT439664OZ,Shampoo,6,16,635,433,2010
TLMA961235MG,Shampoo,4,21,552,410,2003
GQFG591384FO,Tooth_Brush,4,18,859,424,2004
SGVC953520VT,Tooth_Brush,7,19,533,445,2002
ELCK170294CD,Shampoo,4,16,720,463,2007
UOCT584982CK,Shampoo,4,20,705,438,2005
HEJR385879JW,Body_Wash,7,16,650,404,2001
HHQK165500QY,Soap,10,14,603,460,2009
BKBO543992BF,Tooth_Brush,8,23,504,412,2002
BFBR875138BZ,Soap,4,20,524,432,2001
CXTF490966TG,Soap,7,16,952,434,2001
NVIH259864IX,Tooth_Brush,5,23,675,438,2007
YCJN676988JP,Body_Wash,11,20,688,436,2010
KIBR553727BC,Face_Wash,3,19,955,401,2006
LSAH288907AY,Face_Wash,12,18,980,416,2006
PRCM630125CY,Oil,6,25,895,471,2002
UHRY278917RO,Body_Wash,3,13,981,434,2005
MEOY834174OW,Shampoo,5,22,686,479,2008
FJFQ608417FW,Body_Wash,8,19,907,497,2007
FXXX827130XX,Face_Wash,12,17,997,445,2008
SFXJ715379XD,Shampoo,10,20,622,469,2004
TWSQ110866SA,Shampoo,9,22,805,408,2004
PYNH937190NT,Oil,10,20,662,456,2002
LSYE557350YS,Tooth_Brush,4,22,880,494,2004
VIUG393442UE,Toothpaste,3,13,746,470,2002
CGOP387513OX,Oil,7,21,956,439,2006
BQOS590161OW,Face_Wash,11,13,601,426,2003
JPVH511680VB,Tooth_Brush,3,25,889,449,2009
ZGFN610990FK,Oil,9,19,787,471,2005
TMXK768202XT,Oil,7,17,678,483,2001
LACK266819CF,Tooth_Brush,5,15,800,434,2004
TARV719471RA,Toothpaste,10,25,684,491,2005
ZTED517849ED,Oil,9,25,901,491,2007
ULLV952786LR,Soap,11,24,661,402,2006
MFJK462512JW,Oil,6,23,765,458,2003
ACLB381495LA,Soap,12,14,631,402,2008
DDJH753621JO,Shampoo,11,16,778,415,2002
OOMD552555MN,Face_Wash,4,22,763,493,2009
ELJR728238JR,Toothpaste,5,25,786,421,2007
SCQW943207QR,Tooth_Brush,4,24,915,428,2006
BFEK160419EM,Body_Wash,8,13,518,491,2009
PMEW724932EC,Toothpaste,7,14,615,401,2008
VPHV886788HM,Tooth_Brush,8,13,555,419,2001
SPUW290426UG,Body_Wash,3,19,783,444,2008
KZXI865111XD,Shampoo,9,18,973,429,2005
JRJF443521JT,Shampoo,7,18,798,447,2004
CSWV592322WZ,Oil,4,17,867,440,2006
EZBI492226BK,Face_Wash,5,22,592,435,2009
DSGS404343GW,Body_Wash,12,19,635,475,2004
WUOD596554OQ,Body_Wash,9,19,790,464,2009
UVLS674561LN,Toothpaste,3,21,818,446,2009
WSFX144724FP,Body_Wash,8,19,538,435,2007
VQTS216276TD,Face_Wash,12,23,943,469,2005
ASVN895263VE,Face_Wash,3,16,846,445,2006
IDAK308568AO,Body_Wash,9,25,856,415,2007
GIGM353478GB,Face_Wash,6,21,902,481,2010
VYEV939413EM,Shampoo,3,24,729,432,2002
FUXS218525XX,Oil,10,23,582,491,2006
YICK202169CV,Face_Wash,3,19,698,414,2007
ZEMC306585MS,Oil,8,16,911,482,2006
KAVW194803VE,Face_Wash,3,18,835,404,2002
BWFH376237FH,Body_Wash,12,24,697,497,2004
CRBQ102536BU,Oil,8,15,733,400,2002
BIUJ693615UF,Shampoo,6,16,712,480,2007
MRRR667320RY,Oil,4,25,735,456,2001
NTUG297819UB,Shampoo,9,14,643,445,2009
XIQO195417QV,Soap,12,18,854,434,2004
BCEV906538EU,Face_Wash,12,22,558,402,2001
KUHR147733HN,Tooth_Brush,11,15,834,431,2008
JYNO183293NK,Oil,9,22,918,417,2005
EMKO697935KM,Body_Wash,6,14,835,495,2008
RRDU327184DU,Body_Wash,6,16,776,487,2005
VXOA790987OD,Face_Wash,8,22,561,496,2005
CLBM919511BZ,Soap,5,24,685,454,2002
HLUJ660740UN,Body_Wash,9,13,542,478,2007
NSUC813950UR,Shampoo,4,15,529,408,2003
MUAW218150AZ,Oil,8,18,653,435,2003
OXZQ338434ZI,Face_Wash,6,24,907,477,2009
NMUY729924UX,Oil,4,15,997,406,2010
YSXY484485XV,Body_Wash,4,17,671,463,2010
LWHN493950HD,Oil,8,16,722,493,2006
NFAW347549AU,Shampoo,6,18,517,473,2009
SYTK520884TE,Soap,9,13,894,443,2002
OOEZ926815ED,Toothpaste,10,15,982,436,2005
ZDYB344540YW,Shampoo,8,22,540,403,2010
YDXT175958XN,Shampoo,9,19,650,409,2002
SJJS845710JR,Oil,10,23,789,442,2008
PMXP166989XO,Tooth_Brush,11,13,790,415,2001
GKPH359934PK,Tooth_Brush,11,25,888,451,2005
KLDO469467DE,Shampoo,7,17,993,421,2010
CHTM251394TX,Soap,3,16,794,416,2009
LKTC384707TH,Soap,12,14,504,491,2007
GOIB401246IH,Face_Wash,4,16,983,405,2007
IFOC232961OR,Tooth_Brush,9,20,855,436,2002
OAPZ416905PT,Toothpaste,5,19,870,471,2001
LPKO665160KU,Soap,10,19,896,453,2009
PVZC590276ZO,Face_Wash,5,22,998,457,2007
OJJA274799JQ,Face_Wash,9,25,960,476,2002
SIQH542305QZ,Oil,12,19,974,431,2010
MXAW818307AK,Tooth_Brush,7,19,560,490,2007
QJIE239301IG,Shampoo,12,15,956,422,2010
RBOK797479OX,Tooth_Brush,8,15,535,430,2001
HVMG787979ME,Soap,5,16,563,477,2006
HRDE366451DH,Soap,11,14,541,483,2009
BDIT147212ID,Tooth_Brush,10,14,625,483,2003
DZPK980752PM,Tooth_Brush,5,19,824,428,2009
RQFW552117FB,Face_Wash,7,24,866,493,2003
QOFX177598FH,Shampoo,12,16,945,414,2008
DYTX451413TN,Face_Wash,9,25,820,421,2005
QWOG713454OD,Toothpaste,8,18,767,443,2006
DLVW998279VB,Body_Wash,7,20,637,404,2002
QMMF359121MB,Toothpaste,8,18,585,470,2003
SJGB690631GI,Soap,8,23,969,418,2010
LUJL333113JB,Face_Wash,8,13,698,499,2004
PPMU513903MT,Oil,8,21,866,451,2005
DMJI506599JP,Body_Wash,9,24,574,476,2005
LPWF663463WE,Toothpaste,12,23,763,461,2010
AOOO205292OM,Face_Wash,10,22,667,453,2007
DHOG348861OD,Oil,5,15,953,462,2002
TNVF512966VI,Tooth_Brush,3,20,980,455,2005
UXWK897600WO,Tooth_Brush,10,24,835,453,2002
PIAR692766AK,Shampoo,8,24,975,475,2004
MXHP899672HB,Face_Wash,12,21,823,404,2001
JABC570760BK,Soap,9,13,807,448,2001
SUNW748712NR,Face_Wash,11,24,963,432,2002
SSBI556876BV,Face_Wash,7,25,970,419,2010
IKOC779160OI,Oil,9,24,993,438,2008
CEAH910396AN,Face_Wash,9,23,603,413,2001
AXQH638829QC,Toothpaste,8,20,883,447,2008
MXCP103588CX,Tooth_Brush,11,17,634,469,2003
LSVU817344VX,Toothpaste,7,18,593,420,2006
GBQO120126QX,Soap,6,15,512,476,2007
BJDH729372DT,Face_Wash,9,19,998,414,2006
MAHX638481HG,Soap,10,14,918,463,2002
FYVV602197VQ,Shampoo,7,16,662,478,2003
GJSU129242SK,Shampoo,3,23,780,493,2008
WRFQ630651FB,Toothpaste,11,18,840,463,2003
NFAL801273AC,Face_Wash,11,16,616,439,2009
KNWG287944WK,Body_Wash,11,18,907,461,2007
DXTQ936341TZ,Soap,8,17,708,423,2010
SWSQ582389SM,Body_Wash,7,25,941,413,2001
OGVQ390960VI,Face_Wash,10,23,591,439,2005
BVOW674187OQ,Soap,8,18,672,465,2005
ODYE868735YV,Tooth_Brush,8,24,835,420,2005
KLFP169821FF,Toothpaste,9,19,778,422,2006
PYLY296184LY,Shampoo,11,23,690,440,2001
